"Occupation Title","Occupation Code","Employment 2022","Employment 2032","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupational Openings, 2022-2032 Annual Average","Median Annual Wage 2022","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode",Industry,At Risk
"Fine artists, including painters, sculptors, and illustrators    * Book Illustrator* Caricature Artist* Comic Artist* Comic Book Artist* Comic Illustrator* Commercial Artist* Concrete Sculptor* Editorial Cartoonist* Fashion Illustrator* Free Lance Artist* Fresco Artist* Glass Artist* Ice Sculptor* Medical Illustrator* Mural Painter* Muralist* Non-Representational Metal Sculptor* Oil Painter* Pattern Illustrator* Political Cartoonist* Portrait Artist* Portrait Painter* Scientific Illustrator* Sketch Artist* Sports Cartoonist* Stained Glass Artist* Water Colorist* Watercolor Artist","=""27-1013""","29.1","30.6","1.5","5.2","2.9","57,560","Bachelor's degree","3","None","4","Long-term on-the-job training","3",-,-1
"Healthcare practitioners and technical workers, all other    * Podiatric Technician* Traditional Chinese Herbalist","=""29-9099""","44.4","46.7","2.3","5.2","3.0","60,160","Postsecondary nondegree award","5","None","4","None","6",-,-1
"Psychology teachers, postsecondary    * Applied Psychology Professor* Child Development Professor* Clinical Psychology Professor* Educational Psychology Professor* Human Relations Professor* Industrial Psychology Professor* Industrial/Organizational Psychology Professor* Psychology Professor","=""25-1066""","50.9","53.6","2.7","5.2","4.3","78,810","Doctoral or professional degree","1","None","4","None","6",-,-1
"Fundraisers    * Campaign Fundraiser* Donor Relations Officer* Fundraising Officer","=""13-1131""","124.0","130.5","6.5","5.2","9.9","61,190","Bachelor's degree","3","None","4","None","6",-,-1
"Human resources managers    * Employee Relations Manager* Job Analysis Manager* Labor Relations Director* Personnel Administrator* Personnel Director* Personnel Manager* Position Description Manager","=""11-3121""","191.6","201.6","10.0","5.2","15.5","130,000","Bachelor's degree","3","5 years or more","1","None","6",-,-1
"Dancers    * Ballerina* Ballet Company Member* Ballet Dancer* Ballet Soloist* Burlesque Dancer* Dance Artist* Discotheque Dancer* Exotic Dancer* Go-Go Dancer* Line Dancer* Soft Shoe Dancer* Tap Dancer","=""27-2031""","11.5","12.2","0.6","5.3","1.9","0","No formal educational credential","8","None","4","Long-term on-the-job training","3",-,-1
"Acupuncturists    * Acupuncture Physician* Licensed Acupuncturist","=""29-1291""","26.6","28.0","1.4","5.3","1.8","72,220","Master's degree","2","None","4","None","6",-,-1
"Computer science teachers, postsecondary    * C++ Professor* Computer Information Systems Professor* Computer Programming Professor* IT Professor* Information Systems Professor* Information Technology Professor* Java Programming Professor","=""25-1021""","42.0","44.3","2.2","5.3","3.6","84,760","Doctoral or professional degree","1","None","4","None","6",-,-1
"Chefs and head cooks    * Banquet Chef* Chef De Cuisine* Chef De Froid* Executive Chef* Head Chef* Kitchen Chef* Master Chef* Pastry Chef* Sous Chef* Sushi Chef","=""35-1011""","174.4","183.6","9.2","5.3","22.0","56,520","High school diploma or equivalent","7","5 years or more","1","None","6",-,-1
"Child, family, and school social workers    * C-CYFSW* Certified Children, Youth, and Family Social Worker* Child Abuse Worker* Child Protective Services Social Worker* Child Protective Services Specialist* Child Welfare Social Worker* Child Welfare Worker* Child and Family Services Worker* Family Preservation Caseworker* Family Preservation Worker* Family Service Caseworker* Foster Care Social Worker* Foster Care Worker* School Social Worker","=""21-1021""","355.3","374.3","18.9","5.3","29.5","50,820","Bachelor's degree","3","None","4","None","6",-,-1
"Licensed practical and licensed vocational nurses    * LP Nurse* LPN* LVN* Licensed Practical Nurse* Licensed Vocational Nurse* Pediatric Licensed Practical Nurse* Triage Licensed Practical Nurse","=""29-2061""","655.0","689.9","34.9","5.3","54.4","54,620","Postsecondary nondegree award","5","None","4","None","6",-,-1
"Laborers and freight, stock, and material movers, hand    * Cargo Handler* Cart Pusher* Freight Handler* Grave Digger* Manufacturing Laborer* Material Handler* Package Handler* Shipping and Receiving Material Handler* Van Loader* Wharf Laborer","=""53-7062""","2,988.5","3,147.3","158.8","5.3","411.7","36,110","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Entertainment attendants and related workers, all other    * Jockey Valet","=""39-3099""","5.2","5.5","0.3","5.4","1.5","27,260","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Credit counselors    * Credit Counselor* Debt Management Counselor* Student Financial Aid Counselor* Student Loan Counselor","=""13-2071""","32.8","34.6","1.8","5.4","2.4","47,320","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4",-,-1
"Medical equipment preparers    * Central Sterile Supply Technician* Certified Registered Central Service Technician* Health Equipment Servicer* Medical Supply Technician* Oxygen Equipment Preparer* Sterile Preparation Technician* Sterile Processing Technician* Sterile Processing and Distribution Technician* Sterilization Specialist* Sterilization Technician","=""31-9093""","66.7","70.3","3.6","5.4","9.5","41,480","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Paramedics    * Ambulance Driver-Paramedic* Flight Paramedic","=""29-2043""","98.3","103.6","5.3","5.4","5.1","49,090","Postsecondary nondegree award","5","Less than 5 years","2","None","6",-,-1
"Surgical technologists    * Certified Surgical Technologist* OR Tech* Operating Room Technician* Surgical Scrub Technologist","=""29-2055""","109.2","115.2","5.9","5.4","7.2","55,960","Postsecondary nondegree award","5","None","4","None","6",-,-1
"Bus drivers, transit and intercity    * Charter Coach Driver* Motor Coach Bus Driver* Motor Coach Driver* Motor Coach Tour Operator* Public Transit Bus Driver* Public Transit Trolley Driver","=""53-3052""","156.4","164.8","8.4","5.4","21.2","50,890","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",1,1
"Emergency medical technicians    * EMT* EMT-B* EMT-I/85* EMT-I/99","=""29-2042""","170.7","180.0","9.3","5.4","13.1","36,680","Postsecondary nondegree award","5","None","4","None","6",-,-1
"Educational, guidance, and career counselors and advisors    * Admissions Counselor* Career Counselor* Career Technical Counselor* Education Counselor* Guidance Counselor* International Student Counselor* School Adjustment Counselor* School Guidance Counselor* Student Advisor* Student Development Advisor* Student Services Counselor* Student Success Counselor* Study Abroad Advisor* Vocational Adviser","=""21-1012""","342.4","360.8","18.4","5.4","26.6","60,140","Master's degree","2","None","4","None","6",-,-1
"Property, real estate, and community association managers    * Apartment Manager* Building Rental Manager* Community Association Manager* Condominium Association Manager* Homeowner Association Manager* Land Acquisition Manager* Leasing Property Manager* Property Manager* Real Estate Manager","=""11-9141""","429.6","453.0","23.4","5.4","35.9","60,670","High school diploma or equivalent","7","Less than 5 years","2","Short-term on-the-job training","5",-,-1
"Machine feeders and offbearers    * Brick Offbearer* Chain Offbearer* Chopper Feeder* Doffer* Dryer Feeder* Hopper Feeder* Hopper Filler* Line Feeder* Offbearer* Packing Machine Can Feeder* Spike Machine Feeder* Spinning Doffer* Spooler Operator","=""53-7063""","51.5","54.3","2.8","5.5","8.5","38,040","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Maintenance workers, machinery    * Crane Oiler","=""49-9043""","63.6","67.1","3.5","5.5","6.4","53,310","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Radiologic technologists and technicians    * Computed Axial Tomography Technologist* Computed Tomography (CT) Scanner Operator* Radiologic Technician* Registered Radiologic Technologist* Skiagrapher* X-Ray Technician","=""29-2034""","222.8","235.0","12.2","5.5","13.1","65,140","Associate's degree","4","None","4","None","6",-,-1
"Heating, air conditioning, and refrigeration mechanics and installers    * Air Conditioning Service Technician* Bulk Cooler Installer* Evaporative Cooler Installer* Furnace Converter* Furnace Fitter* Gas Furnace Installer* Heating, Ventilation, and Air Conditioning (HVAC) Mechanic* Oil Burner Repairer* Oil Furnace Installer* Refrigeration Systems Installer* Stoker Installer","=""49-9021""","415.8","438.8","23.0","5.5","37.7","51,390","Postsecondary nondegree award","5","None","4","Long-term on-the-job training","3",-,-1
"Concierges    * Activities Concierge* Club Concierge* Conference Concierge* Guest Service Supervisor* Hotel Concierge* Hotel Guest Service Agent","=""39-6012""","38.7","40.9","2.2","5.6","6.5","35,560","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Administrative services managers    * Business Office Manager* Business Unit Manager* Records Management Director* Records and Information Manager* University Registrar","=""11-3012""","250.8","264.9","14.0","5.6","21.1","103,330","Bachelor's degree","3","Less than 5 years","2","None","6",-,-1
"Pharmacy technicians    * CPHT* Certified Pharmacy Technician* Pharmacist Technician* Pharmacy Laboratory Technician","=""29-2052""","459.6","485.5","25.9","5.6","44.9","37,790","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Registered nurses    * CCU Nurse* CNS* Clinical Nurse Specialist* Community Health Nurse* Coronary Care Unit Nurse* Emergency Room RN* Endoscopy Registered Nurse* Hospice Registered Nurse* Obstetrical Nurse* Oncology Registered Nurse* PACU Nurse* Pediatric Registered Nurse* Post-Anesthesia Care Unit Nurse* Psychiatric Nurse* RN* Triage Registered Nurse","=""29-1141""","3,172.5","3,349.9","177.4","5.6","193.1","81,220","Bachelor's degree","3","None","4","None","6",-,-1
"Prosthodontists    * Maxillofacial Prosthetics Dentist* Maxillofacial Prosthodontist* Reconstructive Dentist","=""29-1024""","0.4","0.5","0.0","5.7","0.0","0","Doctoral or professional degree","1","None","4","Internship/residency","1",-,-1
"Animal scientists    * Animal Geneticist* Animal Nutritionist* Beef Cattle Nutritionist* Dairy Scientist* Poultry Scientist* Swine Genetics Researcher","=""19-1011""","2.8","2.9","0.2","5.7","0.2","69,390","Bachelor's degree","3","None","4","None","6",-,-1
"Motorboat mechanics and service technicians    * Certified Marine Mechanic* Marine Propulsion Technician* Marine Technician* Motorboat Mechanic* Outboard Motor Mechanic* Outboard Technician","=""49-3051""","29.3","31.0","1.7","5.7","3.1","48,280","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Healthcare support workers, all other    * Ortho/Prosthetic Aide","=""31-9099""","112.7","119.1","6.4","5.7","16.0","40,420","High school diploma or equivalent","7","None","4","None","6",-,-1
"Conveyor operators and tenders    * Ash Conveyor Operator* Assembly Line Tender* Chip Bin Conveyor Tender* Conveyor Belt Operator* Conveyor Tender* Grain Elevator Operator* Packing Line Operator","=""53-7011""","30.6","32.4","1.8","5.8","3.3","36,890","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Environmental science and protection technicians, including health    * Air Quality Technician* Certified Indoor Environmentalist* Environmental Science Technician* Infectious Waste Technician* Pollution Control Technician* Public Health Sanitarian Technician* Radon Inspector","=""19-4042""","35.0","37.1","2.0","5.8","3.8","48,380","Associate's degree","4","None","4","None","6",-,-1
"Communications equipment operators, all other    * Communications Equipment Operator* Radio Operator* Telegraph and Teletype Operator* Telex Operator","=""43-2099""","1.8","1.9","0.1","5.9","0.3","46,180","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Industrial-organizational psychologists    * Engineering Psychologist* Human Resources Psychologist* I/O Psychologist* Industrial Psychologist* Management Psychologist* Organizational Psychologist* Organizational Research Consultant* Personnel Research Psychologist","=""19-3032""","10.1","10.6","0.6","5.9","0.7","139,280","Master's degree","2","None","4","Internship/residency","1",-,-1
"Public relations managers    * Communication Manager* Public Affairs Director* Public Information Director* Public Information Relations Manager* Public Relations Director* Public Relations Manager* Publicity Director","=""11-2032""","72.0","76.3","4.3","5.9","5.4","129,430","Bachelor's degree","3","5 years or more","1","None","6",-,-1
"Human resources specialists    * Corporate Recruiter* Credentialing Coordinator* Employee Placement Specialist* Human Resources Generalist* Job Placement Officer* Job Placement Specialist* Job Recruiter* Personnel Coordinator* Personnel Officer* Personnel Recruiter* Personnel Specialist* Staffing Coordinator* Student Recruiter* Volunteer Coordinator","=""13-1071""","874.5","925.9","51.4","5.9","78.7","64,240","Bachelor's degree","3","None","4","None","6",-,-1
"Commercial divers    * Marine Diver* Non Destructive Testing Underwater Welder* Salvage Diver* Scuba Diver* Submarine Diver* Underwater Welder","=""49-9092""","4.4","4.7","0.3","6.0","0.5","68,300","Postsecondary nondegree award","5","None","4","Moderate-term on-the-job training","4",-,-1
"Residential advisors    * Dormitory Counselor* House Parent* Residence Director* Residence Life Coordinator* Residential Director* Residential Life Director* Sorority Mother","=""39-9041""","95.7","101.4","5.7","6.0","17.6","35,720","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Private detectives and investigators    * Certified Legal Investigator* Licensed Private Investigator* Loss Prevention Detective* Private Detective* Private Eye* Private Investigator* Skip Tracer* Store Detective","=""33-9021""","38.3","40.6","2.3","6.1","3.8","52,120","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4",-,-1
"Environmental engineers    * Air Pollution Control Engineer* Environmental Remediation Engineer* Hazardous Substances Engineer* Hazardous Waste Management Control Engineer* Pollution Control Engineer* Soil Engineer* Waste Management Engineer* Wastewater Treatment Engineer* Water Treatment Plant Engineer","=""17-2081""","47.3","50.2","2.9","6.1","3.4","96,530","Bachelor's degree","3","None","4","None","6",-,-1
"Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer","=""17-2011""","63.8","67.7","3.9","6.1","3.8","126,880","Bachelor's degree","3","None","4","None","6",-,-1
"Environmental scientists and specialists, including health    * Ecological Modeler* Environmental Analyst* Environmental Scientist* Hazardous Substances Scientist* Health Environmentalist* Water Pollution Scientist* Water Quality Analyst","=""19-2041""","80.5","85.3","4.9","6.1","6.9","76,480","Bachelor's degree","3","None","4","None","6",-,-1
"Art directors    * Magazine Designer","=""27-1011""","135.1","143.2","8.2","6.1","13.8","105,180","Bachelor's degree","3","5 years or more","1","None","6",-,-1
"Financial specialists, all other    * Bail Bondsman* Bondsman* Executor of Estate","=""13-2099""","136.0","144.2","8.3","6.1","9.9","73,810","Bachelor's degree","3","None","4","None","6",-,-1
"Public relations specialists    * Environmental Communications Specialist* Lobbyist* Media Relations Specialist* Press Agent* Press Secretary* Public Affairs Officer* Public Relations Counselor* Public Relations Officer* Public Relations Representative* Publicist* Publicity Agent* Publicity Writer","=""27-3031""","297.1","315.1","18.0","6.1","25.8","67,440","Bachelor's degree","3","None","4","None","6",-,-1
"Mathematical science occupations, all other    * Harmonic Analyst* Mathematical Engineering Technician* Mathematics Technician","=""15-2099""","4.1","4.4","0.3","6.2","0.3","71,700","Bachelor's degree","3","None","4","None","6",-,-1
"Chemists    * Agricultural Chemist* Analytical Chemist* Bench Chemist* Food Chemist* Formulary Chemist* Industrial Chemist* Inorganic Chemist* Laboratory Chemist* Nuclear Chemist* Organic Chemist* Quality Control Chemist* Research and Development Chemist","=""19-2031""","87.1","92.5","5.4","6.2","6.6","80,670","Bachelor's degree","3","None","4","None","6",-,-1
"Lifeguards, ski patrol, and other recreational protective service workers    * Beach Lifeguard* Certified Ski Patroller* Life Guard* OEC Technician* Outdoor Emergency Care Technician* Pool Lifeguard* Ski Patrol","=""33-9092""","113.5","120.5","7.0","6.2","35.0","27,270","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Project management specialists    * Design Project Management Specialists* Movie Project Management Specialists","=""13-1082""","881.3","936.0","54.7","6.2","68.1","95,370","Bachelor's degree","3","None","4","None","6",1,0
"Agricultural engineers    * Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer","=""17-2021""","1.6","1.7","0.1","6.3","0.1","83,260","Bachelor's degree","3","None","4","None","6",-,-1
"Economists    * Agricultural Economist* Econometrician* Economic Development Specialist* Economic Research Analyst* Environmental Economist* Industrial Economist* Labor Economist* Price Economist* Social Economist* Tax Economist* Trade Economist","=""19-3011""","17.6","18.7","1.1","6.3","1.2","113,940","Master's degree","2","None","4","None","6",-,-1
"Baggage porters and bellhops    * Baggage Porter* Bell Staff* Bellperson* Bellstaff* Hotel Baggage Handler* Luggage Attendant* Redcap* Skycap","=""39-6011""","27.7","29.4","1.7","6.3","4.7","31,510","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Telecommunications equipment installers and repairers, except line installers    * Communications Equipment Installer* Fiber Optic Central Office Installer* Headend Technician* Private Branch Exchange (PBX ) Installer and Repairer* Switchboard Wirer* Telecommunications Switch Technician","=""49-2022""","173.7","184.7","11.0","6.3","19.1","59,960","Postsecondary nondegree award","5","None","4","Moderate-term on-the-job training","4",-,-1
"Training and development specialists    * Computer Software Training Specialist* Computer Training Specialist* Corporate Trainer* Employee Development Specialist* Insurance Employee Trainer* Job Training Specialist* Training Coordinator* Training Specialist","=""13-1151""","385.8","409.9","24.2","6.3","35.4","63,080","Bachelor's degree","3","Less than 5 years","2","None","6",-,-1
"Stockers and order fillers    * Grocery Stocker* Night Stocker* Retail Stocker* Store Stocker* Warehouse Stocker","=""53-7065""","2,851.6","3,030.3","178.6","6.3","488.7","34,220","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Nurse midwives    * Certified Nurse Midwife* Certified Nurse Midwife (CNM)","=""29-1161""","8.2","8.7","0.5","6.4","0.4","120,880","Master's degree","2","None","4","None","6",-,-1
"Electricians    * Chief Electrician* Control Electrician* Electrical Maintenance Worker* Electrical Sign Wirer* House Wirer* Licensed Electrician* Lighting Fixture Installer* Marine Electrician* Master Electrician* Solar Photovoltaic Electrician* Stage Electrician","=""47-2111""","762.6","811.8","49.2","6.4","73.5","60,240","High school diploma or equivalent","7","None","4","Apprenticeship","2",-,-1
"Training and development managers    * E-Learning Manager* Employee Development Director* Employee Development Manager* Labor Training Manager","=""11-3131""","41.3","44.0","2.7","6.5","3.5","120,000","Bachelor's degree","3","5 years or more","1","None","6",-,-1
"Community and social service specialists, all other    * Community Organization Worker* Veterans Service Officer","=""21-1099""","103.0","109.7","6.7","6.5","11.1","47,290","Bachelor's degree","3","None","4","None","6",-,-1
"Political scientists    * Government Affairs Researcher* Government Affairs Specialist* Local Governance and Citizen Participation Specialist* Political Consultant* Political Research Scientist* Political Researcher","=""19-3094""","6.2","6.6","0.4","6.6","0.6","128,020","Master's degree","2","None","4","None","6",-,-1
"Social workers, all other    * Adult Protective Service Social Worker* Criminal Justice Social Worker* Forensic Social Worker* Sexual Assault Social Worker","=""21-1029""","68.4","72.9","4.5","6.6","6.0","61,420","Bachelor's degree","3","None","4","None","6",-,-1
"Dietitians and nutritionists    * Clinical Dietitian* Dietitian* Nutritionist* Pediatric Dietician* Public Health Dietitian* Public Health Nutritionist* Research Dietitian* Sports Nutritionist* Therapeutic Dietitian","=""29-1031""","78.6","83.8","5.2","6.6","5.6","66,450","Bachelor's degree","3","None","4","Internship/residency","1",-,-1
"Health technologists and technicians, all other    * CRTT* Certified Respiratory Therapy Technician* Dialysis Technician* Electroencephalogram (EEG) Technologist* Electroneurodiagnostic Technologist* Encephalographer* Oxygen Therapy Technician* Perfusionist* Polysomnograph Tech* Respiratory Therapy Technician","=""29-2099""","168.0","179.1","11.1","6.6","12.6","44,990","Postsecondary nondegree award","5","None","4","None","6",-,-1
"Marketing managers    * Internet Marketing Manager* Marketing Administrator* Marketing Director* VP Marketing","=""11-2021""","358.2","381.9","23.7","6.6","31.2","140,040","Bachelor's degree","3","5 years or more","1","None","6",-,-1
"Psychiatrists    * Addiction Psychiatrist* Child Psychiatrist* Clinical Psychiatrist* Forensic Psychiatrist* Geriatric Psychiatrist* Neuropsychiatrist* Pediatric Psychiatrist* Staff Psychiatrist","=""29-1223""","28.6","30.5","1.9","6.7","1.0","226,880","Doctoral or professional degree","1","None","4","Internship/residency","1",-,-1
"Biochemists and biophysicists    * Biochemist* Biological Chemist* Biophysicist* Clinical Biochemist* Physical Biochemist","=""19-1021""","34.5","36.8","2.3","6.7","2.8","103,810","Doctoral or professional degree","1","None","4","None","6",-,-1
"Lodging managers    * Bed and Breakfast Innkeeper* Boardinghouse Keeper* Hotel Director* Hotel Manager* Hotel Operations Manager* Innkeeper* Lodging Facilities Manager","=""11-9081""","50.8","54.2","3.4","6.7","5.4","61,910","High school diploma or equivalent","7","Less than 5 years","2","None","6",-,-1
"Telecommunications line installers and repairers    * Cable Television Installer* FIOS Line Installer* Fiber Optic Technician* Telecommunication Lines Repairer* Telecommunications Line Installer* Telephone Cable Splicer* Telephone Lines Repairer* Telephone Lineworker","=""49-9052""","112.1","119.6","7.5","6.7","11.0","60,580","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Producers and directors    * Broadcast Producer* Casting Director* Film Maker* Independent Film Maker* Independent Video Producer* Motion Picture Director* Movie Producer* Music Video Director* Music Video Producer* News Production Supervisor* Newscast Director* Newscast Producer* On-Air Director* Pageant Director* Radio Producer* Radio and Television Technical Director* Stage Manager* Television News Producer* Television Newscast Director* Television Producer* Television Program Director* Theater Company Producer* Video Producer","=""27-2012""","175.3","187.0","11.7","6.7","16.0","85,320","Bachelor's degree","3","Less than 5 years","2","None","6",-,-1
"Medical secretaries and administrative assistants    * Dental Secretary* Hospital Secretary* Psychiatric Secretary","=""43-6013""","696.6","743.2","46.6","6.7","79.3","38,500","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Technical writers    * Assembly Instructions Writer* Documentation Writer* Engineering Writer* Handbook Writer* Specifications Writer* Technical Communicator","=""27-3042""","53.3","57.0","3.7","6.9","4.8","79,960","Bachelor's degree","3","Less than 5 years","2","Short-term on-the-job training","5",-,-1
"Tile and stone setters    * Ceramic Tile Installer* Hard Tile Setter* Marble Ceiling Installer* Parquet Floor Layer* Tile Installer* Tile Mason* Wood Tile Installer","=""47-2044""","59.4","63.5","4.1","6.9","5.1","48,340","No formal educational credential","8","None","4","Long-term on-the-job training","3",-,-1
"Business teachers, postsecondary    * Accounting Professor* Banking and Finance Instructor* Business Administration Professor* Finance Professor* Management Professor* Marketing Instructor* Marketing Professor","=""25-1011""","99.9","106.9","6.9","6.9","8.7","88,790","Doctoral or professional degree","1","None","4","None","6",-,-1
"Dental assistants    * Certified Dental Assistant* Dental Aide* Expanded Functions Dental Assistant* Orthodontic Assistant* Orthodontist Assistant* Registered Dental Assistant* Surgical Dental Assistant","=""31-9091""","371.0","396.7","25.7","6.9","55.1","44,820","Postsecondary nondegree award","5","None","4","None","6",-,-1
"Locker room, coatroom, and dressing room attendants    * Athletic Equipment Manager* Bathhouse Attendant* Checkroom Attendant* Cloak Room Attendant* Coat Checker* Ladies Locker Room Attendant* Locker Room Attendant* Locker Room Manager* Locker Room Supervisor* Washroom Attendant","=""39-3093""","12.9","13.8","0.9","7.0","3.8","30,210","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Barbers    * Barber Apprentice* Master Barber","=""39-5011""","63.1","67.6","4.4","7.0","7.3","34,990","Postsecondary nondegree award","5","None","4","None","6",-,-1
"Database administrators    * Automatic Data Processing Planner* Database Administration Manager* Database Coordinator* Database Programmer* Database Security Administrator","=""15-1242""","85.2","91.2","6.0","7.0","5.7","99,890","Bachelor's degree","3","None","4","None","6",-,-1
"Compensation, benefits, and job analysis specialists    * Benefits Analyst* Compensation Analyst* Compensation Specialist* Employee Benefits Specialist* Job Analyst* Job Specification Writer* Occupational Analyst* Pension Administrator* Position Classification Specialist* Retirement Plan Specialist","=""13-1141""","98.2","105.1","6.9","7.0","7.7","67,780","Bachelor's degree","3","Less than 5 years","2","None","6",-,-1
"Computer network support specialists    * Network Diagnostic Support Specialist* Network Support Technician* Network Technician","=""15-1231""","177.9","190.4","12.5","7.0","13.3","68,050","Associate's degree","4","None","4","Moderate-term on-the-job training","4",-,-1
"Health education specialists    * Certified Diabetes Educator* Certified Health Education Specialist* Community Health Education Coordinator* Diabetes Educator* Health Educator* Public Health Educator","=""21-1091""","60.4","64.8","4.4","7.2","6.6","59,990","Bachelor's degree","3","None","4","None","6",-,-1
"Electronics engineers, except computer    * Antenna Engineer* Circuit Design Engineer* Electronic Design Automation Engineer* Electronic Engineer* Electronic Parts Designer* Telecommunication Engineer","=""17-2072""","110.9","118.9","7.9","7.2","6.9","108,170","Bachelor's degree","3","None","4","None","6",-,-1
"Set and exhibit designers    * Scenic Designer* Set Decorator* Set Designer* Stage Scenery Designer* Theater Set Production Designer","=""27-1027""","27.8","29.8","2.0","7.3","2.5","59,990","Bachelor's degree","3","None","4","None","6",-,-1
"Floor layers, except carpet, wood, and hard tiles    * Composition Floor Layer* Cork Floor Installer* Laminate Floor Installer* Linoleum Installer* Resilient Tile Installer* Shock-Absorption Floor Layer* Vinyl Flooring Installer* Vinyl Installer","=""47-2042""","30.2","32.3","2.2","7.3","2.6","48,870","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Farm labor contractors    * Farm Labor Contractor* Harvesting Contractor","=""13-1074""","1.6","1.7","0.1","7.4","0.2","49,330","No formal educational credential","8","Less than 5 years","2","Short-term on-the-job training","5",-,-1
"Septic tank servicers and sewer pipe cleaners    * Electric Sewer Cleaning Machine Operator* Septic Pump Truck Driver* Septic Tank Cleaner* Sewage Screen Operator* Sewer Cleaner* Sewer Pipe Cleaner* Sewer and Drain Technician","=""47-4071""","29.5","31.7","2.2","7.4","3.0","45,610","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Dental hygienists    * Oral Hygienist* RDH* Registered Dental Hygienist","=""29-1292""","219.4","235.7","16.3","7.4","16.4","81,400","Associate's degree","4","None","4","None","6",-,-1
"Securities, commodities, and financial services sales agents    * Commodities Broker* Commodity Trader* Equity Trader* Foreign Exchange Trader* Investment Banker* Municipal Bond Trader* Mutual Fund Sales Agent* Securities Trader* Stock Broker* Stock Trader","=""41-3031""","482.2","517.7","35.6","7.4","40.1","67,480","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4",-,-1
"Food scientists and technologists    * Dairy Bacteriologist* Enologist* Food Preservation Scientist* Food Processing Scientist* Food Safety Scientist* Food Scientist* Food Technologist","=""19-1012""","15.3","16.5","1.1","7.5","1.3","79,860","Bachelor's degree","3","None","4","None","6",2,0
"Meeting, convention, and event planners    * Certified Meeting Professional* Conference Organizer* Conference Planner* Conference Planning Manager* Conference Services Director* Conference Services Manager* Convention Planner* Convention Services Manager* Corporate Meeting Planner* Event Planner* Events Manager* Wedding Planner","=""13-1121""","132.0","141.9","9.9","7.5","15.2","52,560","Bachelor's degree","3","None","4","None","6",-,-1
"Lawyers    * Agency Legal Counsel* Assistant Attorney General* Assistant Corporation Counsel* Assistant Counsel* Associate Attorney* Attorney* Attorney At Law* Attorney General* Brief Writer* City Attorney* Civil Lawyer* Commonwealth Attorney* Corporate Attorney* Corporate Counsel* Corporate Counselor* County Attorney* Defense Attorney* Deputy Attorney General* Deputy Chief Counsel* District Attorney* Environmental Attorney* Estate Conservator* General Counsel* Insurance Attorney* Legal Counsel* Probate Lawyer* Prosecutor* Public Defender* Real Estate Attorney* Sports Attorney* Tax Attorney* Trial Attorney* Trial Lawyer","=""23-1011""","826.3","888.7","62.4","7.5","39.1","135,740","Doctoral or professional degree","1","None","4","None","6",-,-1
"Financial and investment analysts    * Corporate Financial Analyst* Corporate Securities Research Analyst* Corporate Statistical Financial Analyst* Institutional Commodity Analyst* Organizational Investment Analyst","=""13-2051""","317.2","341.4","24.2","7.6","23.0","95,080","Bachelor's degree","3","None","4","None","6",-,-1
"Magnetic resonance imaging technologists    * Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologist* MRI Technologist","=""29-2035""","41.4","44.6","3.2","7.7","2.6","80,090","Associate's degree","4","Less than 5 years","2","None","6",-,-1
